  4k,    4,  223.96,  55.99,    70.22
  4k,    8,  422.39, 105.60,    74.84
  4k,   32,  980.92, 245.23,   129.51
  4k,  256,  940.13, 235.03,  1086.15
  4k, 1024, 1126.36, 281.59,  3624.95
 16k,    4,  597.83,  37.36,   105.53
 16k,    8, 1046.59,  65.41,   121.02
 16k,   32, 1920.58, 120.04,   264.08
 16k,  256, 1788.40, 111.78,  2280.54
 16k, 1024, 1963.97, 122.75,  8267.64
 32k,    4,  913.15,  28.54,   138.95
 32k,    8, 1479.00,  46.22,   171.76
 32k,   32, 1854.31,  57.95,   548.22
 32k,  256, 2003.23,  62.60,  4053.12
 32k, 1024, 2261.17,  70.66, 14195.38
128k,    4, 1906.54,  14.89,   264.09
128k,    8, 2402.24,  18.77,   424.10
128k,   32, 2585.89,  20.20,  1571.53
128k,  256, 2398.51,  18.74, 13323.49
128k, 1024, 2470.90,  19.30, 50564.85


  4k,    4,  546.66, 136.66,    48.73
  4k,    8,  932.47, 233.12,    53.52
  4k,   32, 1854.49, 463.62,    92.45
  4k,  256,  879.66, 219.91,  1163.16
  4k, 1024,  893.59, 223.40,  4559.34
 16k,    4, 1122.38,  70.15,    79.96
 16k,    8, 1670.66, 104.42,   103.57
 16k,   32, 1960.09, 122.51,   282.07
 16k,  256, 1278.28,  79.89,  3198.80
 16k, 1024, 1294.44,  80.90, 12576.59
 32k,    4, 1429.61,  44.68,   116.04
 32k,    8, 2004.70,  62.65,   153.35
 32k,   32, 1996.68,  62.40,   547.87
 32k,  256, 1323.14,  41.35,  6179.13
 32k, 1024, 1334.69,  41.71, 24390.00
128k,    4, 1939.31,  15.15,   290.50
128k,    8, 2237.69,  17.48,   482.34
128k,   32, 1922.12,  15.02,  2153.93
128k,  256, 1659.53,  12.97, 19537.56
128k, 1024, 1835.84,  14.34, 70580.39


  4k,    4,  364.69,  91.17,    60.48
  4k,    8,  716.69, 179.17,    66.18
  4k,   32, 1566.05, 391.51,   125.81
  4k,  256,  909.46, 227.37,  1121.98
  4k, 1024,  895.36, 223.84,  4556.53
 16k,    4, 1030.69,  64.42,    95.49
 16k,    8, 1633.26, 102.08,   114.77
 16k,   32, 2376.34, 148.52,   281.67
 16k,  256, 1280.33,  80.02,  3190.64
 16k, 1024, 1270.35,  79.40, 12802.47
 32k,    4, 1675.62,  52.36,   122.05
 32k,    8, 1991.80,  62.24,   176.65
 32k,   32, 2613.46,  81.67,   480.98
 32k,  256, 1371.04,  42.84,  5944.36
 32k, 1024, 1362.23,  42.57, 23721.83
128k,    4, 2125.38,  16.60,   289.45
128k,    8, 2542.39,  19.86,   457.81
128k,   32, 2423.80,  18.94,  1844.98
128k,  256, 1786.76,  13.96, 18053.78
128k, 1024, 1819.51,  14.21, 70259.23


  4k,    4,  597.04, 149.26,    25.62
  4k,    8, 1191.81, 297.95,    26.15
  4k,   32, 1439.58, 359.90,    88.13
  4k,  256, 1419.58, 354.90,   719.26
  4k, 1024, 1497.14, 374.29,  2722.18
 16k,    4, 1302.63,  81.41,    47.17
 16k,    8, 1634.71, 102.17,    76.70
 16k,   32, 1603.35, 100.21,   317.86
 16k,  256, 1743.27, 108.95,  2338.14
 16k, 1024, 1764.21, 110.26,  9199.27
 32k,    4, 1435.48,  44.86,    87.02
 32k,    8, 1726.05,  53.94,   146.61
 32k,   32, 1618.17,  50.57,   630.23
 32k,  256, 1796.21,  56.13,  4545.79
 32k, 1024, 1797.18,  56.16, 18126.17
128k,    4, 1734.67,  13.55,   293.54
128k,    8, 1730.32,  13.52,   584.92
128k,   32, 1569.72,  12.26,  2600.96
128k,  256, 1799.11,  14.06, 18151.87
128k, 1024, 1776.17,  13.88, 73218.54


