  4k,    1,   33.67,   8.42,    57.69
  4k,    8,  396.59,  99.15,    40.00
  4k,   32, 1014.10, 253.52,    62.75
  4k,  256, 1390.68, 347.67,   365.82
  4k, 1024, 1413.17, 353.29,  1427.81
 16k,    1,  138.52,   8.66,    55.87
 16k,    8, 1108.43,  69.28,    57.22
 16k,   32, 2097.15, 131.07,   121.57
 16k,  256, 2340.57, 146.29,   869.14
 16k, 1024, 2289.47, 143.09,  3544.45
 32k,    1,  237.02,   7.41,    65.49
 32k,    8, 1648.70,  51.52,    77.02
 32k,   32, 2319.86,  72.50,   219.62
 32k,  256, 2383.13,  74.47,  1696.14
 32k, 1024, 2383.13,  74.47,  6801.66
128k,    1,  459.10,   3.59,   136.32
128k,    8, 2532.79,  19.79,   200.32
128k,   32, 2661.36,  20.79,   763.72
128k,  256, 2661.36,  20.79,  6121.59
128k, 1024, 2608.40,  20.38, 24794.56


  4k,    1,  226.08,  56.52,     8.27
  4k,    8, 1125.08, 281.27,    14.04
  4k,   32, 1334.07, 333.52,    47.69
  4k,  256, 1420.83, 355.21,   358.62
  4k, 1024, 1379.70, 344.93,  1460.56
 16k,    1,  555.39,  34.71,    13.58
 16k,    8, 1724.63, 107.79,    36.69
 16k,   32, 1633.30, 102.08,   155.81
 16k,  256, 1707.78, 106.74,  1194.99
 16k, 1024, 1724.63, 107.79,  4714.73
 32k,    1,  833.53,  26.05,    18.36
 32k,    8, 1713.36,  53.54,    74.00
 32k,   32, 1669.71,  52.18,   304.82
 32k,  256, 1696.72,  53.02,  2398.37
 32k, 1024, 1653.90,  51.68,  9773.17
128k,    1, 1147.24,   8.96,    53.70
128k,    8, 1724.63,  13.47,   295.27
128k,   32, 1741.82,  13.61,  1171.72
128k,  256, 1741.82,  13.61,  9332.57
128k, 1024, 1648.70,  12.88, 38916.13


  4k,    1,   82.90,  20.73,    45.48
  4k,    8,  561.34, 140.33,    56.36
  4k,   32,  956.73, 239.18,   133.07
  4k,  256, 1063.46, 265.87,   957.76
  4k, 1024,  998.64, 249.66,  4055.77
 16k,    1,  171.45,  10.72,    89.67
 16k,    8,  983.65,  61.48,   128.98
 16k,   32, 1183.49,  73.97,   431.13
 16k,  256, 1205.26,  75.33,  3375.15
 16k, 1024, 1202.49,  75.16, 13526.74
 32k,    1,  265.19,   8.29,   116.26
 32k,    8, 1144.73,  35.77,   222.52
 32k,   32, 1278.75,  39.96,   799.12
 32k,  256, 1340.89,  41.90,  6080.93
 32k, 1024, 1320.62,  41.27, 24598.35
128k,    1,  635.50,   4.96,   197.54
128k,    8, 1405.60,  10.98,   737.68
128k,   32, 1493.70,  11.67,  2798.20
128k,  256, 1468.59,  11.47, 22242.37
128k, 1024, 1456.35,  11.38, 88686.35


  4k,    1,   61.09,  15.27,    53.68
  4k,    8,  445.82, 111.46,    55.79
  4k,   32,  844.26, 211.07,   117.28
  4k,  256,  956.73, 239.18,   952.46
  4k, 1024,  996.74, 249.19,  3951.25
 16k,    1,  146.57,   9.16,    88.40
 16k,    8,  978.15,  61.13,   103.04
 16k,   32, 1224.97,  76.56,   318.50
 16k,  256, 1372.48,  85.78,  2602.39
 16k, 1024, 1275.64,  79.73, 12310.51
 32k,    1,  251.70,   7.87,   104.77
 32k,    8, 1149.75,  35.93,   173.10
 32k,   32, 1409.38,  44.04,   540.67
 32k,  256, 1337.47,  41.80,  5316.49
 32k, 1024, 1409.38,  44.04, 22316.80
128k,    1,  587.11,   4.59,   194.07
128k,    8, 1537.50,  12.01,   524.42
128k,   32, 1528.54,  11.94,  1983.59
128k,  256, 1583.95,  12.37, 19595.45
128k, 1024, 1497.96,  11.70, 85545.17


